,session_minutes,episodes_watched,sleep_hours,late_night,binge_flag
session_minutes,1.0,-0.005301914571001187,0.0008631993502314452,0.003991681916776282,-0.004738351121892304
episodes_watched,-0.005301914571001187,1.0,-0.15070274628868488,-0.022771380900258677,0.8345924924316286
sleep_hours,0.0008631993502314452,-0.15070274628868488,1.0,0.014300258934177424,-0.03755858969215919
late_night,0.003991681916776282,-0.022771380900258677,0.014300258934177424,1.0,-0.02071465445630045
binge_flag,-0.004738351121892304,0.8345924924316286,-0.03755858969215919,-0.02071465445630045,1.0
